ispb,codigo_compe,nome,nome_completo
05841967,328,"CECM FABRIC CALÇADOS SAPIRANGA","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA."
06249129,548,"RPW S.A. SCFI","RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
06271464,036,"BCO BBI S.A.","Banco Bradesco BBI S.A."
07138049,469,"PICPAY INVEST","PICPAY INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
07207996,394,"BCO BRADESCO FINANC. S.A.","Banco Bradesco Financiamentos S.A."
07237373,004,"BCO DO NORDESTE DO BRASIL S.A.","Banco do Nordeste do Brasil S.A."
07253654,458,"HEDGE INVESTMENTS DTVM LTDA.","HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
07450604,320,"BOC BRASIL","BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A"
07512441,189,"HS FINANCEIRA","HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS"
07652226,105,"LECCA CFI S.A.","Lecca Crédito, Financiamento e Investimento S/A"
07656500,076,"BCO KDB BRASIL S.A.","Banco KDB do Brasil S.A."
07679404,082,"BANCO TOPÁZIO S.A.","BANCO TOPÁZIO S.A."
07693858,312,"HSCM SCMEPP LTDA.","HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA."
07799277,195,"VALOR S/A SCFI","VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
07945233,093,"POLOCRED SCMEPP LTDA.","PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA."
08240446,391,"CCR DE IBIAM","COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM"
08253539,273,"COOP SULCREDI AMPLEA","COOPERATIVA DE CREDITO SULCREDI AMPLEA"
08357240,368,"BCO CSF S.A.","Banco CSF S.A."
08482873,673,"CCR DO AGRESTE ALAGOANO","COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE"
08561701,290,"PAGSEGURO INTERNET IP S.A.","PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A."
08609934,259,"MONEYCORP BCO DE CÂMBIO S.A.","MONEYCORP BANCO DE CÂMBIO S.A."
08673569,395,"F D GOLD DTVM LTDA","F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
09089356,364,"EFÍ S.A. - IP","EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO"
09105360,157,"ICAP DO BRASIL CTVM LTDA.","ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda."
09210106,183,"SOCRED SA - SCMEPP","SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE"
09274232,014,"STATE STREET BR S.A. BCO COMERCIAL","STATE STREET BRASIL S.A. - BANCO COMERCIAL"
09313766,130,"CARUANA SCFI","CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
09464032,358,"MIDWAY S.A. - SCFI","MIDWAY S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
09512542,127,"CODEPE CVC S.A.","Codepe Corretora de Valores e Câmbio S.A."
09516419,079,"PICPAY BANK - BANCO MÚLTIPLO S.A","PICPAY BANK - BANCO MÚLTIPLO S.A"
09526594,141,"MASTER BI S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","BANCO MASTER DE INVESTIMENTO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
10264663,081,"BANCOSEGURO S.A.","BancoSeguro S.A."
10371492,475,"BCO YAMAHA MOTOR S.A.","Banco Yamaha Motor do Brasil S.A."
10398952,133,"CRESOL CONFEDERAÇÃO","CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO"
10440482,703,"GETNET IP","GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO"
10573521,323,"MERCADO PAGO IP LTDA.","MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA."
10663610,577,"AF DESENVOLVE SP S.A.","DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A."
10664513,121,"BCO AGIBANK S.A.","Banco Agibank S.A."
10690848,083,"BCO DA CHINA BRASIL S.A.","Banco da China Brasil S.A."
10789035,787,"ATTRUS IP S/A","ATTRUS INSTITUIÇÃO DE PAGAMENTO S/A"
10853017,138,"GET MONEY CC LTDA","Get Money Corretora de Câmbio S.A."
10866788,024,"BCO BANDEPE S.A.","Banco Bandepe S.A."
11165756,384,"GLOBAL SCM LTDA","GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA."
11285104,426,"NEON FINANCEIRA - SCFI S.A.","NEON FINANCEIRA - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A"
11351086,576,"MERCADO BITCOIN IP LTDA","MERCADO BITCOIN INSTITUICAO DE PAGAMENTO LTDA"
11414839,664,"EAGLE IP LTDA.","EAGLE INSTITUICAO DE PAGAMENTO LTDA."
11476673,088,"BANCO RANDON S.A.","BANCO RANDON S.A."
11491029,670,BSN,"BSN PAGAMENTOS INSTITUIÇÃO DE PAGAMENTO LTDA"
11495073,319,"OM DTVM LTDA","OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
11581339,274,"BMP SCMEPP LTDA","BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA."
11703662,095,"BANCO TRAVELEX S.A.","BANCO TRAVELEX S.A."
11758741,094,"BANCO FINAXIS","Banco Finaxis S.A."
11760553,478,"GAZINCRED S.A. SCFI","GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
11970623,276,"BCO SENFF S.A.","BANCO SENFF S.A."
12102128,780,"SAFETYPAY BRASIL IP LTDA","SAFETYPAY BRASIL INSTITUICAO DE PAGAMENTO LTDA"
12392983,447,"MIRAE ASSET (BRASIL) CCTVM LTDA.","MIRAE ASSET (BRASIL) CORRETORA DE CÂMBIO, TÍTULOS  E VALORES MOBILIÁRIOS LTDA."
12473687,569,"CONTA PRONTA IP","CONTA PRONTA INSTITUICAO DE PAGAMENTO LTDA"
12481100,686,"BIZ IP LTDA.","BIZ INSTITUIÇÃO DE PAGAMENTO S.A."
13009717,047,"BCO DO EST. DE SE S.A.","Banco do Estado de Sergipe S.A."
13059145,144,"EBURY BCO DE CÂMBIO S.A.","EBURY BANCO DE CÂMBIO S.A."
13140088,332,"ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO","ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO"
13203354,450,"FITS IP","FITS INSTITUIÇÃO DE PAGAMENTO S.A."
13220493,126,"BR PARTNERS BI","BR Partners Banco de Investimento S.A."
13370835,301,"DOCK IP S.A.","DOCK INSTITUIÇÃO DE PAGAMENTO S.A."
13486793,173,"BRL TRUST DTVM SA","BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A."
13673855,331,"OSLO CAPITAL DTVM SA","OSLO CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A"
13720915,119,"BCO WESTERN UNION","Banco Western Union do Brasil S.A."
13884775,396,MAGALUPAY,"MAGALUPAY INSTITUIÇÃO DE PAGAMENTO S.A."
13935893,509,"CELCOIN IP S.A.","CELCOIN INSTITUICAO DE PAGAMENTO S.A."
14388334,254,"PARANA BCO S.A.","PARANÁ BANCO S.A."
14511781,268,"BARI CIA HIPOTECÁRIA","BARI COMPANHIA HIPOTECÁRIA"
